# AUTOGENERATED FILE! DO NOT EDIT! Use gen_port_map.py if changes are need.
#
# Board map for sidecar rev B
#
# connector kind, connector, channel, mac_block, mac_channel, tx_lane, tx_swap, rx_lane, rx_swap, tx_eq_pre2, tx_eq_pre1, tx_eq_main, tx_eq_post1, tx_eq_post2
# BP0 (A) J21
1, 1, 0, 8, 0, 0, 1, 1, 1, 0, 0, 26, 0, 0
1, 1, 1, 8, 1, 2, 1, 7, 1, 0, 0, 26, 0, 0
1, 1, 2, 8, 2, 3, 0, 5, 1, 0, 0, 26, 0, 0
1, 1, 3, 8, 3, 1, 0, 3, 1, 0, 0, 26, 0, 0

1, 2, 0, 8, 4, 7, 1, 6, 1, 0, 0, 26, 0, 0
1, 2, 1, 8, 5, 6, 1, 4, 1, 0, 0, 26, 0, 0
1, 2, 2, 8, 6, 5, 1, 2, 1, 0, 0, 26, 0, 0
1, 2, 3, 8, 7, 4, 1, 0, 1, 0, 0, 26, 0, 0

# BP0 (C) J24
1, 3, 0, 6, 0, 4, 0, 5, 0, 0, 0, 26, 0, 0
1, 3, 1, 6, 1, 3, 0, 6, 1, 0, 0, 26, 0, 0
1, 3, 2, 6, 2, 6, 1, 7, 0, 0, 0, 26, 0, 0
1, 3, 3, 6, 3, 7, 1, 4, 1, 0, 0, 26, 0, 0

1, 4, 0, 6, 4, 5, 1, 1, 0, 0, 0, 26, 0, 0
1, 4, 1, 6, 5, 1, 0, 0, 1, 0, 0, 26, 0, 0
1, 4, 2, 6, 6, 2, 1, 2, 1, 0, 0, 26, 0, 0
1, 4, 3, 6, 7, 0, 1, 3, 1, 0, 0, 26, 0, 0

# BP1 (A) J19
1, 5, 0, 7, 0, 4, 0, 3, 0, 0, 0, 26, 0, 0
1, 5, 1, 7, 1, 2, 0, 7, 1, 0, 0, 26, 0, 0
1, 5, 2, 7, 2, 6, 1, 6, 0, 0, 0, 26, 0, 0
1, 5, 3, 7, 3, 0, 0, 4, 1, 0, 0, 26, 0, 0

1, 6, 0, 7, 4, 7, 0, 5, 0, 0, 0, 26, 0, 0
1, 6, 1, 7, 5, 3, 0, 2, 1, 0, 0, 26, 0, 0
1, 6, 2, 7, 6, 5, 0, 1, 1, 0, 0, 26, 0, 0
1, 6, 3, 7, 7, 1, 1, 0, 1, 0, 0, 26, 0, 0

# BP1 (C) J22
1, 7, 0, 5, 0, 7, 1, 5, 1, 0, 0, 26, 0, 0
1, 7, 1, 5, 1, 4, 0, 6, 1, 0, 0, 26, 0, 0
1, 7, 2, 5, 2, 5, 1, 7, 1, 0, 0, 26, 0, 0
1, 7, 3, 5, 3, 0, 1, 2, 1, 0, 0, 26, 0, 0

